,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
skill_home[2903],-0.343194,0.46531,0.9996,-1.88455,-0.414441,1.34027,4.61495,0.000301917,1.81346
skill_home[2904],-0.149362,0.46751,1.04088,-1.77198,-0.208702,1.60942,4.95698,0.000324294,1.68224
skill_home[2905],-0.0324579,0.465518,1.00573,-1.57752,-0.100325,1.66421,4.66758,0.00030536,1.79073
skill_home[2906],0.273738,0.465886,1.00858,-1.27512,0.206252,1.96798,4.68667,0.000306609,1.78405
skill_home[2907],-0.445838,0.466408,1.01493,-2.01087,-0.512098,1.26345,4.7352,0.000309784,1.76099
skill_home[2908],-0.227168,0.464437,0.996405,-1.75852,-0.293893,1.45684,4.60277,0.00030112,1.82206
skill_home[2909],-0.335662,0.466539,1.02489,-1.92237,-0.406171,1.3897,4.82588,0.000315716,1.72627
skill_home[2910],-0.517068,0.465435,1.01094,-2.08078,-0.585315,1.18222,4.71771,0.00030864,1.76578
skill_home[2911],0.150355,0.466646,1.01503,-1.4144,0.0862348,1.85407,4.73132,0.00030953,1.76258
skill_home[2912],-0.340785,0.466701,1.02678,-1.92551,-0.407651,1.38123,4.84036,0.000316664,1.7223
skill_home[2913],-0.146679,0.466549,1.03986,-1.76728,-0.198827,1.60089,4.96774,0.000324997,1.67909
skill_home[2914],-0.338073,0.465659,1.02213,-1.92432,-0.397639,1.36989,4.81813,0.00031521,1.7283
skill_home[2915],-0.0675149,0.46632,0.999342,-1.60317,-0.136648,1.61481,4.59262,0.000300456,1.82693
skill_home[2916],0.220128,0.466317,1.0116,-1.33391,0.145685,1.92798,4.70599,0.000307874,1.77357
skill_home[2917],-0.146926,0.466463,1.01469,-1.71386,-0.208692,1.56266,4.73187,0.000309566,1.76206
skill_home[2918],-0.513805,0.466787,1.01182,-2.0835,-0.583832,1.19045,4.69863,0.000307392,1.7737
skill_home[2919],-0.262269,0.465965,1.00644,-1.80921,-0.331032,1.43015,4.66516,0.000305202,1.79403
skill_home[2920],-0.144896,0.467995,1.0443,-1.77488,-0.201874,1.61286,4.97931,0.000325754,1.67814
skill_home[2921],-0.339384,0.465542,1.02485,-1.93737,-0.395154,1.38304,4.84623,0.000317048,1.72157
skill_home[2922],-0.33902,0.466523,1.02437,-1.9227,-0.400554,1.38413,4.82129,0.000315416,1.7274
skill_home[2923],0.311338,0.466004,1.00669,-1.23928,0.247165,2.01071,4.66677,0.000305308,1.79064
skill_home[2924],-0.444382,0.466497,1.01558,-2.00781,-0.512571,1.26227,4.73946,0.000310063,1.75956
skill_home[2925],-0.445813,0.466281,1.01777,-2.0312,-0.507884,1.25866,4.76432,0.00031169,1.74907
skill_home[2926],-0.145523,0.466032,1.01267,-1.70659,-0.214544,1.56356,4.72173,0.000308903,1.76434
skill_home[2927],-0.148673,0.466202,1.01316,-1.71409,-0.211403,1.55785,4.72285,0.000308976,1.76621
skill_home[2928],-0.340706,0.466544,1.02398,-1.93205,-0.403546,1.37513,4.81721,0.000315149,1.72951
skill_home[2929],-0.263248,0.466868,1.00727,-1.82056,-0.33772,1.43951,4.65487,0.000304529,1.79431
skill_home[2930],-0.336466,0.466544,1.02685,-1.92748,-0.397694,1.40819,4.84432,0.000316923,1.72264
skill_home[2931],-0.146923,0.466057,1.01225,-1.7036,-0.213224,1.5594,4.71736,0.000308617,1.76814
skill_home[2932],-0.288438,0.464584,0.994922,-1.82078,-0.361477,1.38688,4.58616,0.000300034,1.8303
skill_home[2933],-0.0296094,0.466167,1.0071,-1.57078,-0.101291,1.66463,4.66724,0.000305338,1.79237
skill_home[2934],-0.145958,0.465142,0.999209,-1.68483,-0.214479,1.54161,4.61469,0.0003019,1.81668
skill_home[2935],-0.444374,0.465476,1.01712,-2.01663,-0.507957,1.26613,4.77476,0.000312372,1.74651
skill_home[2936],0.10631,0.464962,0.998769,-1.42753,0.0357238,1.79189,4.61418,0.000301867,1.82037
skill_home[2937],0.105827,0.465673,0.999667,-1.42841,0.0347564,1.78928,4.60839,0.000301488,1.81748
skill_home[2938],-0.339249,0.465591,1.02436,-1.93167,-0.402402,1.38808,4.84059,0.000316679,1.72409
skill_home[2939],-0.337096,0.465151,1.0234,-1.92435,-0.40064,1.37793,4.84063,0.000316682,1.72073
skill_home[2940],-0.607082,0.465227,1.00596,-2.15952,-0.674125,1.09739,4.67553,0.00030588,1.78726
skill_home[2941],-0.444684,0.464473,1.01312,-2.01616,-0.50743,1.26009,4.75774,0.000311259,1.75474
skill_home[2942],0.270547,0.465497,1.00897,-1.28535,0.199993,1.96307,4.69815,0.00030736,1.78177
skill_home[2943],-0.514279,0.4655,1.00925,-2.07936,-0.581437,1.18774,4.70066,0.000307524,1.77681
skill_home[2944],-0.0333708,0.464121,1.00315,-1.57978,-0.0996073,1.65398,4.67162,0.000305625,1.78772
skill_home[2945],-0.259467,0.466958,1.0076,-1.80716,-0.328426,1.44345,4.65613,0.000304611,1.7928
skill_home[2946],-0.262973,0.466522,1.00796,-1.81922,-0.332411,1.43749,4.66809,0.000305394,1.78889
skill_home[2947],-0.338859,0.467087,1.02508,-1.92486,-0.406174,1.3924,4.81636,0.000315094,1.73198
skill_home[2948],0.150109,0.466982,1.01781,-1.42479,0.088859,1.86271,4.75039,0.000310778,1.75644
skill_home[2949],0.220174,0.466138,1.01183,-1.33497,0.149043,1.92232,4.71176,0.000308251,1.77419
skill_home[2950],-0.377173,0.465752,0.992659,-1.90059,-0.446313,1.298,4.54245,0.000297174,1.85158
skill_home[2951],-0.0670539,0.466775,0.998999,-1.5876,-0.132833,1.61274,4.58052,0.000299665,1.8323
skill_home[2952],-0.147667,0.467071,1.03865,-1.75936,-0.208584,1.60386,4.94504,0.000323513,1.68414
skill_home[2953],-0.147566,0.46608,1.01152,-1.71259,-0.207912,1.55809,4.71009,0.000308142,1.77361
skill_home[2954],-0.146602,0.465222,1.01131,-1.70126,-0.207632,1.5517,4.72548,0.000309148,1.76583
skill_home[2955],-0.148205,0.464888,0.999777,-1.67977,-0.215755,1.53587,4.62499,0.000302574,1.81303
skill_home[2956],0.221894,0.465872,1.01374,-1.33679,0.156175,1.9307,4.73499,0.000309771,1.7653
skill_home[2957],0.218626,0.465111,1.01036,-1.34392,0.152842,1.91637,4.71892,0.000308719,1.77172
skill_home[2958],-0.143986,0.466319,1.0135,-1.70705,-0.213207,1.56904,4.72365,0.000309029,1.76949
skill_home[2959],0.0445196,0.465814,1.02493,-1.53972,-0.017443,1.77142,4.84129,0.000316725,1.72274
skill_home[2960],-0.0309641,0.464962,1.0056,-1.58094,-0.0950035,1.6532,4.67749,0.000306009,1.78788
skill_home[2961],-0.44611,0.466521,1.01782,-2.01602,-0.512634,1.27464,4.75992,0.000311401,1.75283
skill_home[2962],0.0423875,0.465981,1.02628,-1.548,-0.0145962,1.7703,4.85059,0.000317333,1.71898
skill_home[2963],0.315955,0.465325,1.00621,-1.23078,0.254991,2.00659,4.67591,0.000305905,1.79179
skill_home[2964],0.0450365,0.465738,1.00253,-1.49395,-0.032078,1.7368,4.63352,0.000303132,1.80815
skill_home[2965],0.149916,0.465311,1.01517,-1.4167,0.0832731,1.85541,4.75986,0.000311398,1.75601
skill_home[2966],0.347036,0.464807,1.00579,-1.20096,0.279646,2.04243,4.68242,0.000306331,1.79053
skill_home[2967],0.15154,0.467167,1.01773,-1.4225,0.0885086,1.87519,4.74596,0.000310488,1.75868
